dt,marketplace,num_trades,num_users,unique_buyers,unique_sellers,eth_value_traded,usd_value_traded,|,new_users,new_buyers,new_sellers,| (1),pct_new_users,pct_new_buyers,pct_new_sellers,| (2),num_trades_7dma,num_users_7dma,eth_value_traded_7dma,usd_value_traded_7dma,| (3),num_trades_30dma,num_users_30dma,eth_value_traded_30dma,usd_value_traded_30dma,| (4),running_num_trades_in_period,total_users_in_period,total_buyers_in_period,total_sellers_in_period,running_eth_value_traded_in_period,running_usd_value_traded_in_period,| (5),running_num_trades,total_users,total_buyers,total_sellers,running_eth_value_traded,running_usd_value_traded
2022-11-01T00:00:00Z,Quix,3177,3066,1828,1825,27.14271653884287,43058.592592847934,|,1443,1275,887,|,0.4706457925636008,0.4158512720156556,0.2893020221787345,|,3223,3016.714285714286,31.01198028335713,48693.09562772093,|,2817.733333333333,2651.266666666667,26.78145631599158,37381.18780261154,|,179718,85890,60254,54639,2328.1861877828173,3.3028370289381295e+06,|,181818,85890,60254,54639,2331.8294120838177,3.308221556176185e+06
2022-10-31T00:00:00Z,OpenSea,251,245,114,138,10.29868280288354,16275.812047245436,|,111,70,61,|,0.4530612244897959,0.2857142857142857,0.24897959183673468,|,545.7142857142857,352.42857142857144,11.990491453537876,18837.299060142326,|,285.8333333333333,219.06666666666666,5.595536766130425,8059.711933690199,|,9082,4485,2303,2678,171.24416116521888,246281.82443459373,|,9082,4485,2303,2678,171.24416116521888,246281.82443459373
2022-10-31T00:00:00Z,Quix,2709,2745,1473,1674,33.807354995200285,53523.039522934865,|,1156,1000,725,|,0.4211293260473588,0.36429872495446264,0.2641165755919854,|,3259.4285714285716,3018.8571428571427,43.6750891324671,65674.97390352243,|,2823.3333333333335,2655.233333333333,26.47129595162527,36721.47210756318,|,176541,84447,58979,53752,2301.0434712439746,3.2597784363452815e+06,|,178641,84447,58979,53752,2304.686695544975,3.265162963583337e+06
2022-10-30T00:00:00Z,OpenSea,476,353,145,225,28.959391973311224,46242.412081200135,|,174,103,100,|,0.49291784702549574,0.29178470254957506,0.28328611898017,|,577,371,12.699119129689043,19443.949057730973,|,279.8333333333333,213.26666666666668,5.267491993001591,7537.357074215184,|,8831,4374,2233,2617,160.94547836233534,230006.01238734828,|,8831,4374,2233,2617,160.94547836233534,230006.01238734828
2022-10-30T00:00:00Z,Quix,3030,3052,1783,1869,36.919853296394514,59179.3478457361,|,1423,1275,908,|,0.4662516382699869,0.41775884665792923,0.29750982961992134,|,3452.4285714285716,3126.285714285714,45.15652246658256,66515.70120789582,|,2837.233333333333,2664.7,26.247158126068936,36135.46331622257,|,173832,83291,57979,53027,2267.2361162487746,3.206255396822347e+06,|,175932,83291,57979,53027,2270.8793405497745,3.2116399240604024e+06
2022-10-29T00:00:00Z,OpenSea,564,372,141,247,23.498984687062954,38116.04825925886,|,169,92,103,|,0.4543010752688172,0.24731182795698925,0.2768817204301075,|,541.8571428571429,353.42857142857144,9.458868969097548,14018.519831976953,|,265.8333333333333,204.8,4.32034477625323,6020.20854853107,|,8355,4200,2130,2517,131.9860863890241,183763.60030614815,|,8355,4200,2130,2517,131.9860863890241,183763.60030614815
2022-10-29T00:00:00Z,Quix,3242,3162,1781,1992,36.528618803139985,58515.71614450255,|,1661,1331,1153,|,0.5253004427577482,0.4209361163820367,0.3646426312460468,|,3520.4285714285716,3141.285714285714,44.89865885709036,64666.62975724339,|,2824.6666666666665,2649.866666666667,25.9421262138254,35399.13336937458,|,170802,81868,56704,52119,2230.31626295238,3.147076048976611e+06,|,172902,81868,56704,52119,2233.95948725338,3.1524605762146665e+06
2022-10-28T00:00:00Z,OpenSea,686,396,167,252,3.9558984521811915,6008.032473462007,|,190,99,132,|,0.4797979797979798,0.25,0.3333333333333333,|,501.14285714285717,339.57142857142856,7.089744793139246,9862.948185644691,|,249.96666666666667,196.36666666666667,3.5588537958835147,4778.782104310227,|,7791,4031,2038,2414,108.48710170196115,145647.5520468893,|,7791,4031,2038,2414,108.48710170196115,145647.5520468893
2022-10-28T00:00:00Z,Quix,3841,3248,1834,1846,28.677903450677277,43608.44526150794,|,1608,1264,914,|,0.49507389162561577,0.3891625615763547,0.2814039408866995,|,3440.714285714286,3068.285714285714,43.9005447905383,61817.87355167848,|,2802.5666666666666,2629.3,25.32723594186415,34250.949050015624,|,167560,80207,55373,50966,2193.78764414924,3.0885603328321083e+06,|,169660,80207,55373,50966,2197.43086845024,3.093944860070164e+06
2022-10-27T00:00:00Z,OpenSea,1311,616,215,419,5.364221588736724,8319.174492163642,|,461,162,338,|,0.7483766233766234,0.262987012987013,0.5487012987012987,|,430.14285714285717,312.14285714285717,7.127037141148094,9782.242448196119,|,234.2,191.4,3.476161230391015,4643.126664912159,|,7105,3841,1939,2282,104.53120324977996,139639.5195734273,|,7105,3841,1939,2282,104.53120324977996,139639.5195734273
