,chain,project,action,usd_value_out,usd_value_out_pct_share,usd_value_net,usd_value_net_pct_share,address,style,granularity
71301,Ethereum,0x9036b1eb7630d9a45720fd80d05d46262f460529,0x9036b1eb7630d9a45720fd80d05d46262f460529,51029938.519663215,0.00020410739611152545,45653999.6842341,0.00022731411590409023,13.0,Dollar-Weighted,project
2021,Ethereum,0x038b56cf38fa881387dc39fbff01a4ec4a838578,0x038b56cf38fa881387dc39fbff01a4ec4a838578,50994268.89716104,0.00020396472625966203,50994268.89716104,0.0002539036498599843,2.0,Dollar-Weighted,project
119153,Ethereum,0xf122baebe4edf78671014505d6965f26a195094e,0xf122baebe4edf78671014505d6965f26a195094e,50900641.38409694,0.00020359023888126657,50900641.38409694,0.0002534374726246124,1.0,Dollar-Weighted,project
18914,Ethereum,0x258ede9f27da4922efd8543d6c49a6fa98ab842f,0x258ede9f27da4922efd8543d6c49a6fa98ab842f,50853302.80012423,0.0002034008960094041,49732559.68550999,0.0002476215208908208,8.0,Dollar-Weighted,project
74878,Ethereum,0x9799b475dec92bd99bbdd943013325c36157f383,0x9799b475dec92bd99bbdd943013325c36157f383,50834407.0330562,0.00020332531751713728,278206.70628085895,1.3852085669212773e-06,2.0,Dollar-Weighted,project
16474,Ethereum,0x20b185c31472980c74baabf24ba999c61598f055,0x20b185c31472980c74baabf24ba999c61598f055,50690579.4,0.0002027500418157826,50690579.4,0.00025239156088565593,2.0,Dollar-Weighted,project
110867,Ethereum,0xe0755f3a9a1714eee8fe7a540f20eeac6117787c,0xe0755f3a9a1714eee8fe7a540f20eeac6117787c,50224990.775232,0.00020088780006873594,50124181.867032,0.0002495714321927182,1.0,Dollar-Weighted,project
42333,Ethereum,0x55388490b4610f11b01cc49d93ae420ed7d91424,0x55388490b4610f11b01cc49d93ae420ed7d91424,50163274.13049931,0.00020064094843578176,50163274.13049931,0.00024976607501416264,7.0,Dollar-Weighted,project
18228,Ethereum,0x242dd308817e7c1178d16eec64f036ef5e6f6c16,0x242dd308817e7c1178d16eec64f036ef5e6f6c16,50043177.76082462,0.00020016059204093126,50043177.76082462,0.0002491681076885239,6.0,Dollar-Weighted,project
51780,Ethereum,0x6841731d5183fb7ccf89689b2e37cfdb8bf6799e,0x6841731d5183fb7ccf89689b2e37cfdb8bf6799e,49886101.79339693,0.00019953232621045192,49886101.79339693,0.00024838601663598606,1.0,Dollar-Weighted,project
